"distA";"distB";"distC";"distD";"distE";"distF";"distG";"temA";"temB";"temC";"temD";"temE";"temF";"temG";"dist";"tem"
"31";7.1533;5.3007;5.2354;2.6383;2.8255;1.8416;4.0723;11.6783333333333;9.07166666666667;9.23666666666667;5.01;4.98333333333333;3.625;7.12666666666667;"F";"F"
"32";5.5513;4.0013;3.7932;1.196;1.3537;1.6234;3.947;9.165;6.62833333333333;6.585;2.35833333333333;2.36166666666667;2.92166666666667;5.92;"D";"D"
"33";4.9936;3.4404;3.3605;0.8778;0.8216;2.6365;5.3584;7.02666666666667;5.77666666666667;4.95333333333333;1.66;1.575;4.96;7.77833333333333;"E";"E"
"34";11.8255;9.9675;10.0196;8.0395;8.2268;5.9869;8.1118;18.0083333333333;15.345;15.6916666666667;12.585;12.5583333333333;8.99166666666667;11.3833333333333;"F";"F"
"35";10.4239;8.5659;9.2581;7.433;7.243;5.2255;7.3103;15.5816666666667;12.9183333333333;13.7833333333333;10.5633333333333;10.31;7.08333333333333;9.385;"F";"F"
"36";10.9487;9.0907;9.4795;7.9578;7.7678;5.4468;7.8351;16.69;14.0266666666667;14.8633333333333;11.6716666666667;11.4183333333333;8.16333333333333;10.4933333333333;"F";"F"
"37";8.4029;6.5449;6.9214;5.412;5.2219;2.8887;5.5953;13.25;10.5866666666667;11.4783333333333;8.23166666666667;7.97833333333333;4.77833333333333;8.32166666666667;"F";"F"
"38";8.437;6.5791;7.1143;5.4462;5.2561;3.0816;5.7883;13.6516666666667;10.9883333333333;11.97;8.63333333333333;8.38;5.27;8.81333333333333;"F";"F"
"39";9.9901;8.1322;8.8244;6.9993;6.8092;4.7917;6.8765;15.2716666666667;12.6083333333333;13.4733333333333;10.2533333333333;10;6.77333333333333;9.075;"F";"F"
"40";8.711;6.8584;6.7063;4.1959;4.3832;2.7413;4.9274;18.1266666666667;15.52;15.4366666666667;11.4583333333333;11.4316666666667;8.76666666666667;12.2983333333333;"F";"F"
"41";6.269;4.5679;4.3511;1.754;1.9413;1.3025;3.7735;10.035;7.48166666666667;7.59333333333333;3.36666666666667;3.34;2.21166666666667;5.60333333333333;"F";"F"
"42";4.4396;3.8974;2.1559;2.1923;2.1361;3.0782;4.148;6.335;5.93166666666667;3.795;3.43;3.345;5.52166666666667;6.085;"E";"E"
"43";11.036;9.178;9.2441;7.264;7.4513;5.2114;7.3363;16.8983333333333;14.235;14.5833333333333;11.4766666666667;11.45;7.88333333333333;10.275;"F";"F"
"44";6.8261;5.125;4.6243;2.3111;2.4984;0.6147;3.438;11.1666666666667;8.61333333333333;8.14;4.49833333333333;4.47166666666667;1.38833333333333;5.01333333333333;"F";"F"
"45";6.1245;4.4234;4.1968;1.5997;1.7967;1.0912;3.4148;9.67166666666667;7.11833333333333;7.355;3.12833333333333;2.97666666666667;2.02166666666667;5.02;"F";"F"
"46";6.2112;4.0808;3.6574;1.0779;1.4364;1.6287;3.9523;9.3;6.95666666666667;6.75;2.485;2.50333333333333;3.04;6.03833333333333;"D";"D"
"47";12.2899;10.4319;10.0361;8.056;8.2433;6.0034;8.1283;18.4316666666667;15.7683333333333;15.48;12.3733333333333;12.3466666666667;8.78;11.1716666666667;"F";"F"
"48";5.726;4.1729;3.6641;1.3615;1.5284;1.7207;3.9405;9.245;6.895;6.48333333333333;2.53833333333333;2.44166666666667;3.1;5.91333333333333;"D";"E"
"49";7.4713;5.2421;4.3613;2.3931;2.6154;0.3517;3.175;11.125;8.66666666666667;7.64833333333333;4.57666666666667;4.525;0.896666666666667;4.52166666666667;"F";"F"
"50";6.9455;4.7153;3.8355;1.9125;2.076;1.2524;2.9777;10.375;8.19666666666667;6.89833333333333;3.84333333333333;3.87833333333333;2.275;4.69666666666667;"F";"F"
"51";6.9455;4.7153;3.8355;1.9125;2.076;1.2524;2.9777;10.375;8.19666666666667;6.89833333333333;3.84333333333333;3.87833333333333;2.275;4.69666666666667;"F";"F"
"52";8.0489;5.7728;4.9389;2.9588;3.1461;0.9062;3.6129;12.0516666666667;9.58333333333333;8.575;5.46833333333333;5.44166666666667;1.875;5.41833333333333;"F";"F"
"53";5.7907;5.2485;2.6807;2.1924;2.3601;2.9701;3.535;8.11333333333333;7.71;4.63666666666667;3.93166666666667;4.115;5.26666666666667;5.24;"D";"D"
"54";5.7047;5.1625;2.5947;2.1064;2.2742;2.8841;3.449;7.985;7.58166666666667;4.50833333333333;3.80333333333333;3.98666666666667;5.13833333333333;5.11166666666667;"D";"D"
"55";5.7047;5.1625;2.5947;2.1064;2.2742;2.8841;3.449;7.985;7.58166666666667;4.50833333333333;3.80333333333333;3.98666666666667;5.13833333333333;5.11166666666667;"D";"D"
"56";11.372;9.514;8.9213;6.9412;7.1285;4.8886;7.0135;17.0816666666667;14.4183333333333;13.9416666666667;10.835;10.8083333333333;7.24166666666667;9.63333333333333;"F";"F"
"57";8.1326;5.8565;5.0226;3.0425;3.2298;0.9899;3.6966;12.0916666666667;9.62333333333333;8.615;5.50833333333333;5.48166666666667;1.915;5.45833333333333;"F";"F"
"58";7.5126;5.254;4.4026;2.4401;2.6274;0.0261;2.6427;11.145;8.60833333333333;7.66833333333333;4.49333333333333;4.46666666666667;0.0483333333333333;3.78666666666667;"F";"F"
"59";3.5197;5.3551;0.3641;3.65;3.5938;4.6864;5.318;5.245;7.76;0.963333333333333;5.14;5.055;7.86833333333333;7.96;"C";"C"
"60";7.1951;4.9891;4.0852;2.1621;2.3625;0.9384;2.6638;10.555;8.06666666666667;7.07833333333333;4.02333333333333;3.925;1.84833333333333;4.27;"F";"F"
"61";7.9586;5.7;4.8486;2.8861;3.0733;0.4199;2.3542;12.165;9.62833333333333;8.68833333333333;5.51333333333333;5.48666666666667;0.971666666666667;3.99666666666667;"F";"F"
"62";5.522;4.9798;1.8642;2.6818;3.2185;3.1463;3.5373;7.77;7.36666666666667;4.24666666666667;4.67333333333333;4.78;5.535;5.44833333333333;"C";"C"
"63";7.0639;4.8978;3.9539;2.0856;2.2917;1.3804;3.1604;10.0383333333333;8.195;6.56166666666667;3.68166666666667;3.78666666666667;2.86666666666667;4.77666666666667;"F";"F"
"64";10.3788;8.5208;7.7903;5.8102;5.9975;3.7576;5.8825;15.7716666666667;13.1083333333333;12.46;9.35333333333333;9.32666666666667;5.76;8.15166666666667;"F";"F"
"65";8.6741;6.398;5.5641;3.584;3.7713;1.1153;2.4928;13.2816666666667;10.8133333333333;9.805;6.69833333333333;6.67166666666667;2.435;4.61166666666667;"F";"F"
"66";8.5027;6.2266;5.3928;3.4127;3.5999;0.9439;2.5464;12.87;10.4016666666667;9.39333333333333;6.28666666666667;6.26;2.02333333333333;4.425;"F";"F"
"67";9.7256;7.4495;6.6156;4.6355;4.8228;2.5829;4.4783;14.3833333333333;11.915;10.9066666666667;7.8;7.77333333333333;4.20666666666667;6.37666666666667;"F";"F"
"68";9.94;7.6639;6.83;4.8499;5.0372;2.7973;3.9161;14.6816666666667;12.2133333333333;11.205;8.09833333333333;8.07166666666667;4.505;5.69333333333333;"F";"F"
"69";6.6971;6.1549;3.5871;2.7631;2.9692;2.0579;2.4286;8.96166666666667;8.55833333333333;5.485;4.29833333333333;4.40333333333333;3.46833333333333;3.56333333333333;"F";"F"
"70";4.9768;6.8122;2.1083;5.1071;5.0509;6.1435;5.9024;7.15833333333333;9.67333333333333;3.65166666666667;7.05333333333333;6.96833333333333;9.78166666666667;8.56666666666667;"C";"C"
"71";9.9404;7.6643;6.8305;4.8504;5.0377;2.7978;3.762;14.505;12.0366666666667;11.0283333333333;7.92166666666667;7.895;4.32833333333333;5.32166666666667;"F";"F"
"72";6.7929;6.2507;3.6829;3.2081;3.4142;2.2029;2.1049;9.06333333333333;8.66;5.58666666666667;4.78833333333333;4.89333333333333;3.79666666666667;3.38;"G";"G"
"73";9.0333;6.9736;5.9233;4.0551;4.2612;1.6215;1.6942;13.595;11.555;10.1183333333333;7.23833333333333;7.34333333333333;2.98333333333333;2.95833333333333;"F";"G"
"74";11.058;8.7819;7.948;5.9679;6.1552;3.9153;5.7485;16.0816666666667;13.6133333333333;12.605;9.49833333333333;9.47166666666667;5.905;7.85666666666667;"F";"F"
"75";6.9666;6.4244;3.8566;3.3818;3.5879;1.9848;2.1203;9.33833333333333;8.935;5.86166666666667;5.06333333333333;5.16833333333333;3.38166666666667;3.45666666666667;"F";"F"
"76";9.5184;7.4586;6.4084;4.5402;4.7463;2.1065;2.3343;14.5633333333333;12.5233333333333;11.0866666666667;8.20666666666667;8.31166666666667;3.95166666666667;4.48333333333333;"F";"F"
"77";7.0984;6.5562;3.9884;3.5137;3.7198;2.1167;1.8268;9.69166666666667;9.28833333333333;6.215;5.41666666666667;5.52166666666667;3.735;2.93166666666667;"G";"G"
"78";5.4262;6.5441;1.7631;4.0313;4.199;4.4957;4.6996;8.86;9.82333333333333;3.64833333333333;6.9;7.08333333333333;7.76166666666667;6.97166666666667;"C";"C"
"79";6.4657;5.9235;3.3557;3.4107;3.5784;2.9317;1.9208;8.71166666666667;8.30833333333333;5.235;5.50833333333333;5.69166666666667;4.77833333333333;3.175;"G";"G"
"80";9.8531;8.3058;6.7431;5.4918;5.6791;2.4412;3.4622;15.3916666666667;13.0266666666667;11.915;8.91166666666667;8.885;4.78;5.24333333333333;"F";"F"
"81";10.9232;8.6471;7.8132;5.8331;6.0204;3.0206;4.1977;15.8616666666667;13.3933333333333;12.385;9.27833333333333;9.25166666666667;5.57;6.14;"F";"F"
"82";11.0156;8.7394;7.9056;5.9255;6.1128;3.3384;4.0972;16.1733333333333;13.705;12.6966666666667;9.59;9.56333333333333;5.93;6.28;"F";"F"
"83";10.844;8.5679;7.734;5.754;5.9412;3.0769;3.3515;16.0616666666667;13.5933333333333;12.585;9.47833333333333;9.45166666666667;5.525;5.15166666666667;"F";"G"
"84";11.4374;8.841;8.3274;6.027;6.2143;3.2636;3.2598;15.695;13.4816666666667;12.2183333333333;9.36666666666667;9.34;5.41;4.62666666666667;"G";"G"
"85";10.0803;8.0205;6.9703;5.102;5.3938;2.9617;1.9027;15.2666666666667;13.8633333333333;11.79;9.66833333333333;9.72166666666667;5.79333333333333;4.19833333333333;"G";"G"
"86";6.6719;8.5395;3.1672;6.166;6.1098;6.7396;5.3302;8.42666666666667;11.37;5.35166666666667;8.75333333333333;8.66833333333333;10.02;8.02333333333333;"C";"C"
"87";8.8733;8.3311;5.7633;4.9277;5.2009;2.8653;0.5657;12.505;12.1016666666667;9.02833333333333;8.14;8.22;4.53166666666667;1.35833333333333;"G";"G"
"88";12.4516;9.7859;9.3416;6.9719;7.1592;4.2778;4.274;17.26;14.99;13.7833333333333;10.875;10.8483333333333;6.975;6.19166666666667;"G";"G"
"89";12.4159;10.1398;9.3059;7.3259;7.5131;5.2733;5.0559;18.4283333333333;15.96;14.9516666666667;11.845;11.8183333333333;8.25166666666667;7.845;"G";"G"
"90";10.398;9.3914;7.288;6.5774;6.7647;3.9003;2.2204;14.7716666666667;14.3566666666667;11.295;10.2416666666667;10.215;6.28833333333333;3.70333333333333;"G";"G"
"91";11.3946;9.9281;8.2846;7.1141;7.3014;4.4201;3.217;16.3116666666667;15.1083333333333;12.835;10.9933333333333;10.9666666666667;7.22;5.24333333333333;"G";"G"
"92";8.6749;8.1327;5.5649;5.3964;5.6025;3.4565;0.4973;12.0716666666667;11.6683333333333;8.595;8.29666666666667;8.40166666666667;5.055;1.00333333333333;"G";"G"
"93";9.5562;9.014;5.6462;6.2777;6.4838;3.859;1.2741;12.8233333333333;12.42;9.00166666666667;9.04833333333333;9.15333333333333;5.69833333333333;3.04333333333333;"G";"G"
"94";9.6401;9.0979;5.7301;6.3616;6.5677;3.9429;1.3061;12.8283333333333;12.425;9.00666666666667;9.05333333333333;9.15833333333333;5.70333333333333;3.00166666666667;"G";"G"
"95";10.1912;9.649;6.2812;6.9127;7.1188;4.494;1.4262;13.9466666666667;13.5433333333333;10.125;10.1716666666667;10.2766666666667;6.82166666666667;3.355;"G";"G"
"96";10.8371;10.2949;7.7271;7.5586;7.7647;5.5049;2.6595;15.8833333333333;15.48;12.4066666666667;12.1083333333333;12.2133333333333;8.59333333333333;4.815;"G";"G"
